,Title,Authors,Categories,Keywords,Description,Type of (possible) format,,,,,,,,,
348,"Supplementary tables for ""Theme Enrichment Analysis: A Statistical Test for Identifying Significantly Enriched Themes in a List of Stories with an Application to the Star Trek Television Franchise""","['by Paul Sheridan Mikael Onsjö', 'Paul Sheridan', 'Paul Sheridan', 'Mikael Onsjö', 'Mikael Onsjö']","['Space Science', 'Medicine', 'Pharmacology', 'Environmental Sciences not elsewhere classified', 'Chemical Sciences not elsewhere classified', 'Sociology', 'Biological Sciences not elsewhere classified', 'Science Policy', 'Hematology']","['Enrichment Analysis', 'Information Retrieval', 'Literary Theme', 'Ontology', 'Over-representation Analysis', 'Star Trek']","Supplementary tables for the manuscript ""Theme Enrichment Analysis: A Statistical Test for Identifying Significantly Enriched Themes in a List of Stories with an Application to the Star Trek Television Franchise"".
Supplementary Information File 1 contains a table of Star Trek TOS/TAS/TNG television series episodes featuring the Klingon alien race. The criterion for inclusion is that the Klingons were deemed by the authors to have been featured throughout the episode in a way that is central to the story plot.
Supplementary Information File 2 contains tables of over-represented Literary Theme Ontology version 0.1.1 literary themes in Star Trek TOS/TAS/TNG television series storysets as identified by the hypergeometric test.
Supplementary Information File 3 contains tables of over-represented Literary Theme Ontology version 0.1.1 literary themes in Star Trek TOS/TAS/TNG television series storysets as identified by the TF-IDF statistic.",.tng,,,,,,,,,
349,A Distinct Expression Pattern in Mammalian Testes Indicates a Conserved Role for NANOG in Spermatogenesis,"['Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '', 'Ewart W. Kuijk', '', '', '', '']","['Genetics', 'Cell Biology']","['', '']",No description found,.tng,,,,,,,,,
350,"Genomic DNA Copy Number Aberrations, Histological Diagnosis, Oral Subsite and Aneuploidy in OPMDs/OSCCs",[],['Biological Sciences'],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",No description found,.tng,,,,,,,,,
351,Sahul linguistic population structure.,"['by Ger Reesink Ruth Singer Michael Dunn', 'Ger Reesink', 'Ger Reesink', 'Ruth Singer', 'Ruth Singer', 'Michael Dunn', 'Michael Dunn']","['Evolutionary Biology', 'Environmental Sciences not elsewhere classified', 'Ecology', 'Biological Sciences not elsewhere classified', 'Science Policy']","['phylogenetic groups', 'Sahul continent', 'Austronesian language family', 'Systematic language contact effects']","At K2 the basic contrast is between AN (Pale Blue) and all non-AN (Dark Blue), whether belonging to Papuan or Australian stocks, with some admixture in both groups. At K3 the Australian languages emerge as a solid cluster (Pale Green) within the non-AN group of K2. At K4 the AN languages are differentiated into a group which is basically the Oceanic subgroup (Pale Blue), and the remainder of western AN (Dark Green). The Oceanic languages of the Solomon Islands, New Caledonia, and Polynesia exhibit a considerable contribution from western AN as well. At K5 the Papuan languages are split into TNG (Dark Blue) and non-TNG (Pink), with some non-TNG of eastern Indonesia and New Britain showing admixture from AN clusters. At K6 a new cluster (Red) emerges, containing the Papuan languages of the Bird's Head and island Indonesia, as well as the non-TNG languages of the Bismarck archipelago. In addition, the AN languages Taba and Biak of eastern Indonesia exhibit a major contribution from this population. Some contribution is also seen in Oceanic languages east of the New Guinea mainland. At K7 we find a first diversification within the Australian set, mainly coinciding with the opposition between PN (Pale Green) and various non-PN (Yellow) families. Two non-PN languages, Garrwa and Kayardild, that had been previously classified as PN but more recently recognized as non-PN (Evans 2003: 12 [7]) cluster in our analysis with recognized PN languages. K8 exhibits a new contributing population among the non-TNG languages (Orange), present mainly in what can be identified as Northwest Papuan languages, different from other northern and southern non-TNG clusters, the latter of which is more clearly delineated in K9. At K9 the South Papuan cluster (Pale Purple) appears very strong in languages of the Trans-Fly area and Yélî Dnye of Rossel Island and has a weak contribution in Inanwatan towards the west and in Bilua of the Solomon Islands in the east. It leaves a group of languages that can be identified as Northeast Papuan. At K10 a new cluster (Dark Purple) is found among the AN languages. Signals of this population are not contiguous, suggesting two different strands in the Oceanic subgroup of the AN family: (1) a New Britain Oceanic also found in Äiwoo of the Reefs-Santa Cruz group (Pale Blue), and three languages of Vanuatu (Mwotlap, South Efate, and Sye); and (2) all other Oceanic languages (Dark Purple). Interestingly, at K11 the bifurcation of Oceanic languages of K10 disappears, while a new contributing population among the non-TNG languages can be identified. Since this K value is the first of a series with lower probabilities, we do not further discuss this, nor higher K values.",.tng,,,,,,,,,
352,Targeted Next-Generation Sequencing at Copy-Number Breakpoints for Personalized Analysis of Rearranged Ends in Solid Tumors,"['by Hyun-Kyoung Kim Won Cheol Park Kwang Man Lee Hai-Li Hwang Seong-Yeol Park Sungbin Sorn Vishal Chandra Kwang Gi Kim Woong-Bae Yoon Joon Seol Bae Hyoung Doo Shin Jong-Yeon Shin Ju-Young Seoh Jong-Il Kim Kyeong-Man Hong', 'Hyun-Kyoung Kim', 'Hyun-Kyoung Kim', 'Won Cheol Park', 'Won Cheol Park', 'Kwang Man Lee', 'Kwang Man Lee', 'Hai-Li Hwang', 'Hai-Li Hwang', 'Seong-Yeol Park', 'Seong-Yeol Park', 'Sungbin Sorn', 'Sungbin Sorn', 'Vishal Chandra', 'Vishal Chandra', 'Kwang Gi Kim', 'Kwang Gi Kim', 'Woong-Bae Yoon', 'Woong-Bae Yoon', 'Joon Seol Bae', 'Joon Seol Bae', 'Hyoung Doo Shin', 'Hyoung Doo Shin', 'Jong-Yeon Shin', 'Jong-Yeon Shin', 'Ju-Young Seoh', 'Ju-Young Seoh', 'Jong-Il Kim', 'Jong-Il Kim', 'Kyeong-Man Hong', 'Kyeong-Man Hong']",['Biological Sciences'],"['genetics', 'Cancer genetics', 'Gene amplification', 'next-generation', 'sequencing', 'copy-number', 'breakpoints', 'personalized', 'rearranged', 'ends']","Background
The concept of the utilization of rearranged ends for development of personalized biomarkers has attracted much attention owing to its clinical applicability. Although targeted next-generation sequencing (NGS) for recurrent rearrangements has been successful in hematologic malignancies, its application to solid tumors is problematic due to the paucity of recurrent translocations. However, copy-number breakpoints (CNBs), which are abundant in solid tumors, can be utilized for identification of rearranged ends.
Method
As a proof of concept, we performed targeted next-generation sequencing at copy-number breakpoints (TNGS-CNB) in nine colon cancer cases including seven primary cancers and two cell lines, COLO205 and SW620. For deduction of CNBs, we developed a novel competitive single-nucleotide polymorphism (cSNP) microarray method entailing CNB-region refinement by competitor DNA.
Result
Using TNGS-CNB, 19 specific rearrangements out of 91 CNBs (20.9%) were identified, and two polymerase chain reaction (PCR)-amplifiable rearrangements were obtained in six cases (66.7%). And significantly, TNGS-CNB, with its high positive identification rate (82.6%) of PCR-amplifiable rearrangements at candidate sites (19/23), just from filtering of aligned sequences, requires little effort for validation.
Conclusion
Our results indicate that TNGS-CNB, with its utility for identification of rearrangements in solid tumors, can be successfully applied in the clinical laboratory for cancer-relapse and therapy-response monitoring.",.tng,,,,,,,,,
353,SiFAP/TNG dataset of PSR J1023+0038,"['by Alessandro Papitto', 'Alessandro Papitto']","['https://www.nature.com/articles/s41550-017-0266-2', 'Galactic Astronomy', 'Astrophysics', 'High Energy Astrophysics; Cosmic Rays']","['stars: neutron', 'pulsars: general', 'pulsars: individual: PSR J1023+0038']","SiFAP/TNG observation fits file analyzed by Ambrosino, Papitto et al. (2017), ""Optical pulsations from a transitional millisecond pulsar"" (Nature Astronomy, https://www.nature.com/articles/s41550-017-0266-2,
http://dx.doi.org/10.1038/s41550-017-0266-2)

The times of arrival of optical photons reported in these files were corrected for a known systematic drift of the SiFAP clock (see Methods section in Ambrosino, Papitto et al.), and converted to the barycenter of the Solar System using the position of the source (RA = 155.94869665833°, DEC = 0.6446793083°). Times are reported in seconds since the MJDREF keyword (reported in the header of each of the four fits files).

Please, address comments and requests to: alessandro.papitto@oa-roma.inaf.it",.tng,,,,,,,,,
354,PCR-amplified rearrangements identified by TNGS-CNB.,"['by Hyun-Kyoung Kim Won Cheol Park Kwang Man Lee Hai-Li Hwang Seong-Yeol Park Sungbin Sorn Vishal Chandra Kwang Gi Kim Woong-Bae Yoon Joon Seol Bae Hyoung Doo Shin Jong-Yeon Shin Ju-Young Seoh Jong-Il Kim Kyeong-Man Hong', 'Hyun-Kyoung Kim', 'Hyun-Kyoung Kim', 'Won Cheol Park', 'Won Cheol Park', 'Kwang Man Lee', 'Kwang Man Lee', 'Hai-Li Hwang', 'Hai-Li Hwang', 'Seong-Yeol Park', 'Seong-Yeol Park', 'Sungbin Sorn', 'Sungbin Sorn', 'Vishal Chandra', 'Vishal Chandra', 'Kwang Gi Kim', 'Kwang Gi Kim', 'Woong-Bae Yoon', 'Woong-Bae Yoon', 'Joon Seol Bae', 'Joon Seol Bae', 'Hyoung Doo Shin', 'Hyoung Doo Shin', 'Jong-Yeon Shin', 'Jong-Yeon Shin', 'Ju-Young Seoh', 'Ju-Young Seoh', 'Jong-Il Kim', 'Jong-Il Kim', 'Kyeong-Man Hong', 'Kyeong-Man Hong']",['Biological Sciences'],"['genetics', 'Cancer genetics', 'Gene amplification', 'rearrangements']","*Chromosome number.
**Two rearrangements were amplified also in normal samples, indicating that these are constitutive genomic rearrangements.
***Two candidate rearrangements were analyzed by next-generation sequencing in the same region as sample C6, but only one was amplified by PCR.
****Samples C7 and C8 are the COLO205 and SW620 cancer cell lines, respectively.
ID, identification number.",.tng,,,,,,,,,
355,In vivo cell reprogramming in TNG-A mice.,"['by Açelya Yilmazer Irene de Lázaro Cyrill Bussy Kostas Kostarelos', 'Açelya Yilmazer', 'Açelya Yilmazer', 'Irene de Lázaro', 'Irene de Lázaro', 'Cyrill Bussy', 'Cyrill Bussy', 'Kostas Kostarelos', 'Kostas Kostarelos']","['Biotechnology', 'Genetics', 'Developmental Biology']","['Reprogramming', 'tng-a']","TNG-A mice were HTV injected with 0.9% saline alone, 75 µg of pCX-OKS-2A and 75 µg pCX-cMyc in 0.9% saline and at days 2, 4, RT-qPCR analysis of hepatocytes was performed to determine the relative gene expression of: (a) transfected transcription factors (OKSM) and (b) endogenous pluripotency markers. All gene expression levels were normalized to HTV-injected saline group (*p<0.05 indicates statistically significant differences between the expression levels of pluripotency markers in the OKSM and saline HTV-injected groups, obtained by the analysis of variance and Tukey's pairwise comparison); (c) flow cytometry analysis of GFP positive cells in liver extracts; (d) liver tissue frozen and sectioned to image GFP-positive cells with fluorescence microscopy at day 4 (10x).",.tng,,,,,,,,,
356,Additional file 10: of Conserved regulation of RNA processing in somatic cell reprogramming,"['by Alexander Kanitz Afzal Syed Keisuke Kaji Mihaela Zavolan', 'Alexander Kanitz', 'Alexander Kanitz', 'Afzal Syed', 'Afzal Syed', 'Keisuke Kaji', 'Keisuke Kaji', 'Mihaela Zavolan', 'Mihaela Zavolan']","['Cell Biology', 'Genetics', 'Molecular Biology', 'Biotechnology', 'Developmental Biology', 'Science Policy', 'Infectious Diseases', 'Plant Biology']","['iPS cells', 'Somatic cell reprogramming', 'RNA processing', 'Alternative splicing']","Figure S7. In vitro characterization of iPSCs. (A) qRT-PCR measurements of Esrp1/2 expression 4 days after retroviral transduction of TNG-MKOS7-MEFs, relative to non-transduced TNG-MKOS-MEFs. Error bars indicate standard deviations (n = 3). See Additional file 16 for raw data. (B) Genomic PCR of iPSC clones demonstrating the integration of the indicated transgenes. M, 100 bp DNA marker (Invitrogen, 15628-019). (C) Relative expression of pluripotency markers in iPSC clones derived from TNG-MKOS-MEFs expressing the indicated transgenes compared to embryonic stem cells, as analyzed by qRT-PCR. ESC, embryonic stem cells (MKOS cassette) [87]. See Fig. 4d for abbreviations and Additional file 16 for raw data. (D) Germ layer specific marker expression analyzed by qRT-PCR after the induction of spontaneous differentiation in embryonic stem cells (ESC) and iPSC clones expressing the indicated transgenes. See Fig. 4d for abbreviations and Additional file 16 for raw data. (E) Images of embryoid bodies derived from iPSC clones carrying the indicated transgenes. Scale bar 100 μm. (F) Directed differentiation of iPSCs was performed as described previously [94]. Representative images of neurons derived from iPSC clones carrying the indicated transgenes. Green represents β-III tubulin (eBioscience, 14-4510-80) and blue represents nuclei stained with Hoechst dye. Scale bar: 10 μm. (PDF 537 kb)",.tng,,,,,,,,,
357,Expression of Nanog in testis of various mammalian species as determined by RT-PCR.,"['by Ewart W. Kuijk Jeffrey de Gier Susana M. Chuva de Sousa Lopes Ian Chambers Ans M. M. van Pelt Ben Colenbrander Bernard A. J. Roelen', 'Ewart W. Kuijk', 'Ewart W. Kuijk', 'Jeffrey de Gier', 'Jeffrey de Gier', 'Susana M. Chuva de Sousa Lopes', 'Susana M. Chuva de Sousa Lopes', 'Ian Chambers', 'Ian Chambers', 'Ans M. M. van Pelt', 'Ans M. M. van Pelt', 'Ben Colenbrander', 'Ben Colenbrander', 'Bernard A. J. Roelen', 'Bernard A. J. Roelen']","['Genetics', 'Cell Biology']","['testis', 'mammalian']","(A) Expression of Nanog in mouse testis of the Black 6 strain (BL/6) and the SV129 strain (SV129) (B) Expression of eGFP in testis of a TNG mouse; (C) Expression of NANOG in dog and pig testes; (D) Expression of NANOG in human testis; in all RT-PCR experiments, amplicons were of the expected sizes (See also Table 2) and products were identified by sequence analysis. Abbreviations: TNG =  testis cDNA from Nanog eGFP reporter mouse; Cf =  Canis familiaris, Ss =  Sus scrofa, Hs =  Homo sapiens; +  = cDNA synthesis reaction performed with reverse transcriptase, −  =  minus reverse transcriptase control.",.tng,,,,,,,,,
358,Spatio-temporal mutation profiles of case-matched colorectal carcinomas and their metastases reveal unique de novo mutations in metachronous lung metastases by targeted next generation sequencing,"['Valentina Kovaleva', '', '', '', '', 'Valentina Kovaleva', '', '', '', '']","['Medicine', 'Genetics', 'Biological Sciences not elsewhere classified', 'Cancer', 'Plant Biology', 'Virology']","['', '', '', '']",No description found,.tng,,,,,,,,,
359,List of Star Trek TOS/TAS/TNG Klingon-centric episodes,"['by Paul Sheridan Mikael Onsjö', 'Paul Sheridan', 'Paul Sheridan', 'Mikael Onsjö', 'Mikael Onsjö']","['Biochemistry', 'Molecular Biology', 'Environmental Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Science Policy']","['Enrichment Analysis', 'Information Retrieval', 'Klingon', 'Literary Theme', 'Ontology', 'Over-representation Analysis', 'Star Trek']",This dataset contains a list of Star Trek TOS/TAS/TNG television series episodes featuring the Klingon alien race. The criterion for inclusion is that the Klingons were deemed by the authors to have been featured throughout the episode in a way that is central to the story plot.,.tng,,,,,,,,,
360,Protein expression analysis.,"['by Elsa Abranches Evguenia Bekman Domingos Henrique', 'Elsa Abranches', 'Elsa Abranches', 'Evguenia Bekman', 'Evguenia Bekman', 'Domingos Henrique', 'Domingos Henrique']","['Molecular Biology', 'Cell Biology', 'Genetics', 'Developmental Biology']","['genetics and genomics', 'molecular biology', 'cell biology', 'developmental biology']","n.d. = not determined.
Expression of Nanog, Oct4, Sox2, VNP and GFP proteins in Nd, E14tg2a and TNG-A cells, grown in serum/LIF or 2i media, and measured by IF, FC-IS or FC in non-fixed cells. Averages and standard deviations of at least 3 independent experiments are depicted (except for TNG-A cells, where only two biological replicates were performed). Nanog expression is not statistically different between different cell lines grown in the same media, although IF measurements provide slightly lower values than FC-IS, probably due to higher sensitivity of cytometry analysis. ES cells grown in 2i media significantly increase Nanog expression (determined by FC-IS) when compared to serum/LIF conditions for all cell lines. In Nd cells, VNP mimics Nanog expression in both culture conditions. In contrast, the percentage of GFP-positive cells in TNG-A ES cells is much higher than the percentage of Nanog-positive cells in serum/LIF conditions, most likely due to reporter stability. Oct4 and Sox2 are always detected in more than 90% of cells in both media and for all ES cell lines, with no statistically significant differences being observed. See Table S3 for statistical data analysis (p-values).",.tng,,,,,,,,,
361,Demographic and Characteristics of the Participants.,"['by Walter Stünkel Hong Pan Siew Boom Chew Emilia Tng Jun Hao Tan Li Chen Roy Joseph Clara Y. Cheong Mei-Lyn Ong Yung Seng Lee Yap-Seng Chong Seang Mei Saw Michael J. Meaney Kenneth Kwek Allan M. Sheppard Peter D. Gluckman Joanna D. Holbrook', 'Walter Stünkel', 'Walter Stünkel', 'Hong Pan', 'Hong Pan', 'Siew Boom Chew', 'Siew Boom Chew', 'Emilia Tng', 'Emilia Tng', 'Jun Hao Tan', 'Jun Hao Tan', 'Li Chen', 'Li Chen', 'Roy Joseph', 'Roy Joseph', 'Clara Y. Cheong', 'Clara Y. Cheong', 'Mei-Lyn Ong', 'Mei-Lyn Ong', 'Yung Seng Lee', 'Yung Seng Lee', 'Yap-Seng Chong', 'Yap-Seng Chong', 'Seang Mei Saw', 'Seang Mei Saw', 'Michael J. Meaney', 'Michael J. Meaney', 'Kenneth Kwek', 'Kenneth Kwek', 'Allan M. Sheppard', 'Allan M. Sheppard', 'Peter D. Gluckman', 'Peter D. Gluckman', 'Joanna D. Holbrook', 'Joanna D. Holbrook']","['Medicine', 'Genetics', 'Biological Sciences', 'Biotechnology']",['characteristics'],Demographic and Characteristics of the Participants.,.tng,,,,,,,,,
362,Hydrothermal Synthesis of Octadecahedral Hematite (α-Fe2O3) Nanoparticles: An Epitaxial Growth from Goethite (α-FeOOH),"['by Ming Lin Liling Tng Tongyi Lim Meeling Choo Jia Zhang Hui Ru Tan Shiqiang Bai', 'Ming Lin', 'Ming Lin', 'Liling Tng', 'Liling Tng', 'Tongyi Lim', 'Tongyi Lim', 'Meeling Choo', 'Meeling Choo', 'Jia Zhang', 'Jia Zhang', 'Hui Ru Tan', 'Hui Ru Tan', 'Shiqiang Bai', 'Shiqiang Bai']","['Biophysics', 'Space Science', 'Physical Sciences not elsewhere classified', 'Microbiology', 'Cell Biology', 'Biotechnology', 'Environmental Sciences not elsewhere classified', 'Chemical Sciences not elsewhere classified', 'Ecology', 'Developmental Biology', 'Infectious Diseases', 'Virology', 'Computational Biology']","['hydrothermal growth process', '2O', 'bipyramid shape', 'goethite', 'hematite particles', 'FeOOH', 'Fe', 'hematite surface structures']","Driven by the demand for shape-controlled synthesis of α-Fe2O3 nanostructures and the understanding of their growth mechanism and shape-dependent properties, we report the synthesis of octadecahedral α-Fe2O3 nanocrystals with a hexagonal bipyramid shape by introducing F– anions in the solution. The hydrothermal growth process from hydrolysis of Fe3+ precursors involves three steps: the nucleation of akaganeite (β-FeOOH) nanorods, followed by the formation of goethite (α-FeOOH) crystals with acicular and twinned shapes, and a subsequent transformation into hematite (α-Fe2O3) nanoparticles. The phase transformation and growth of α-Fe2O3 particles from α-FeOOH follows dissolution of goethite and reprecipitation as hematite process. The initial nucleation of α-Fe2O3 particles was found to form epitaxially on goethite {001} surfaces due to a perfect lattice match between goethite {001} surface and hematite {001} planes. The structural relationship between goethite and hematite is G(020)//H(030) with G[100]//H[100]. The obtained α-Fe2O3 hexagonal bipyramid particles are enclosed by 12 {113} planes and six {104} facets. Since the twinned α-FeOOH particles are one of the typical shapes of intermediate goethite crystals, the nucleation of hematite particles on two twinned arms gives rise to the formation of twinned hematite particles. F– anions play an important role in the formation of α-Fe2O3 particles with a hexagonal bipyramid shape because high concentration of F– anions can stabilize the exposed {113} surfaces. The controlled synthesis of α-Fe2O3 nanoparticles with defined surfaces not only provides significant information on hematite surface structures and energies but also is critical to give the structure–property relationship for the application of hematite materials.",.tng,,,,,,,,,
363,Creating an astronomical library for a small community. The TNG experience.,"['by Martín Rodríguez, Mave Magazzù, Antonio', 'Martín Rodríguez, Mave', 'Martín Rodríguez, Mave', 'Magazzù, Antonio', 'Magazzù, Antonio']",['Uncategorized'],['zenodo'],"In this contribution we describe the library located in the sea level office of the Telescopio Nazionale Galileo in La Palma (Canary Islands), after two years since its creation.",.tng,,,,,,,,,
364,A prospective study of clinical characteristics and outcomes of acute kidney injury in a tertiary care Centre,"['Su Teo', '', '', '', '']","['Medicine', 'Cell Biology', 'Biotechnology', 'Developmental Biology', 'Marine Biology', 'Science Policy', 'Mental Health', 'Computational Biology']","['', '', '']",No description found,.tng,,,,,,,,,
365,The structures (and chemodynamics) of stellar haloes: insights from Illustris/TNG,"['by Pillepich, Annalisa', 'Pillepich, Annalisa', 'Pillepich, Annalisa']","['Biophysics', 'Space Science', 'Medicine', 'Biotechnology', 'Evolutionary Biology', 'Ecology', 'Mathematical Sciences not elsewhere classified', 'Infectious Diseases']","['galaxies, stellar haloes, hydrodynamical simulations, IllustrisTNG']","In this talk, I review what we know about the fundamental features of galactic stellar haloes from a theoretical and numerical perspective. In particular, I will show results from large cosmological hydrodynamical simulations like Illustris and IllustrisTNG. These numerical models return a remarkably diverse and rich set of observables (across galaxy/halo masses, galacto/ clustercentric distances, cosmic epochs, and environments) that can be contrasted to observational findings. For example, the IllustrisTNG simulations reproduce quantitatively the observed diversity, statistical and structural properties of the observed galaxy populations, primarily in terms of their stellar content within their bright innermost regions. We can therefore reliably use their output to uncover how the underlying physical processes determine the stellar-populations and phase-space properties of the baryonic components also around such galaxies, in the dim outskirts. In particular, I will give examples of how we can obtain un-observable properties of galaxies’ assembly histories from observable properties of their stellar haloes.",.tng,,,,,,,,,
366,Expression signature for gestational age organises samples into gestational age groups.,"['by Walter Stünkel Hong Pan Siew Boom Chew Emilia Tng Jun Hao Tan Li Chen Roy Joseph Clara Y. Cheong Mei-Lyn Ong Yung Seng Lee Yap-Seng Chong Seang Mei Saw Michael J. Meaney Kenneth Kwek Allan M. Sheppard Peter D. Gluckman Joanna D. Holbrook', 'Walter Stünkel', 'Walter Stünkel', 'Hong Pan', 'Hong Pan', 'Siew Boom Chew', 'Siew Boom Chew', 'Emilia Tng', 'Emilia Tng', 'Jun Hao Tan', 'Jun Hao Tan', 'Li Chen', 'Li Chen', 'Roy Joseph', 'Roy Joseph', 'Clara Y. Cheong', 'Clara Y. Cheong', 'Mei-Lyn Ong', 'Mei-Lyn Ong', 'Yung Seng Lee', 'Yung Seng Lee', 'Yap-Seng Chong', 'Yap-Seng Chong', 'Seang Mei Saw', 'Seang Mei Saw', 'Michael J. Meaney', 'Michael J. Meaney', 'Kenneth Kwek', 'Kenneth Kwek', 'Allan M. Sheppard', 'Allan M. Sheppard', 'Peter D. Gluckman', 'Peter D. Gluckman', 'Joanna D. Holbrook', 'Joanna D. Holbrook']","['Medicine', 'Genetics', 'Biological Sciences', 'Biotechnology']","['gestational', 'organises', 'samples']","Hierarchical clustering of samples (columns) by the expression levels of the 64 probes (rows) significantly associated with gestational age (adjusted p-value<0.05), organises normal birth weight samples perfectly by gestational age group (A) and organises all samples into two clusters with significantly different gestational ages (B). Z-score normalised logged expression levels are denoted in the heat map (green for low, red for high, white for intermediate). X-axis colour bars denote sample classification: high birth weight group (>3700 g) in orange; low birthweight group (<2500 g) in green; normal birthweight and gestational age less than or equal to 37 weeks in blue; or normal birthweight and gestational age more than 37 weeks in red. Gestational age is also represented as a continuous variable in the x-axis colour bar in (B) green for low, red for high, white for intermediate.",.tng,,,,,,,,,
367,"Genes whose differential transcription for gestational age was replicated across the qPCR groups, also containing CpGs whose methylation levels correlated with gestational age.","['by Walter Stünkel Hong Pan Siew Boom Chew Emilia Tng Jun Hao Tan Li Chen Roy Joseph Clara Y. Cheong Mei-Lyn Ong Yung Seng Lee Yap-Seng Chong Seang Mei Saw Michael J. Meaney Kenneth Kwek Allan M. Sheppard Peter D. Gluckman Joanna D. Holbrook', 'Walter Stünkel', 'Walter Stünkel', 'Hong Pan', 'Hong Pan', 'Siew Boom Chew', 'Siew Boom Chew', 'Emilia Tng', 'Emilia Tng', 'Jun Hao Tan', 'Jun Hao Tan', 'Li Chen', 'Li Chen', 'Roy Joseph', 'Roy Joseph', 'Clara Y. Cheong', 'Clara Y. Cheong', 'Mei-Lyn Ong', 'Mei-Lyn Ong', 'Yung Seng Lee', 'Yung Seng Lee', 'Yap-Seng Chong', 'Yap-Seng Chong', 'Seang Mei Saw', 'Seang Mei Saw', 'Michael J. Meaney', 'Michael J. Meaney', 'Kenneth Kwek', 'Kenneth Kwek', 'Allan M. Sheppard', 'Allan M. Sheppard', 'Peter D. Gluckman', 'Peter D. Gluckman', 'Joanna D. Holbrook', 'Joanna D. Holbrook']","['Medicine', 'Genetics', 'Biological Sciences', 'Biotechnology']","['differential', 'transcription', 'gestational', 'was', 'replicated', 'qpcr', 'containing', 'cpgs', 'methylation', 'levels', 'correlated']","Genes whose differential transcription for gestational age was replicated across the qPCR groups, also containing CpGs whose methylation levels correlated with gestational age.",.tng,,,,,,,,,
368,Additional file 1: of A prospective study of clinical characteristics and outcomes of acute kidney injury in a tertiary care Centre,"['by Su Teo Kian-Guan Lee Riece Koniman Alvin Tng Zhong Liew Thin Naing Huihua Li Ru Tan Han Tan Hui Choong W. Foo Manish Kaushik', 'Su Teo', 'Su Teo', 'Kian-Guan Lee', 'Kian-Guan Lee', 'Riece Koniman', 'Riece Koniman', 'Alvin Tng', 'Alvin Tng', 'Zhong Liew', 'Zhong Liew', 'Thin Naing', 'Thin Naing', 'Huihua Li', 'Huihua Li', 'Ru Tan', 'Ru Tan', 'Han Tan', 'Han Tan', 'Hui Choong', 'Hui Choong', 'W. Foo', 'W. Foo', 'Manish Kaushik', 'Manish Kaushik']","['Space Science', 'Medicine', 'Biotechnology', 'Biological Sciences not elsewhere classified', 'Mathematical Sciences not elsewhere classified', 'Developmental Biology', 'Science Policy', 'Mental Health', 'Computational Biology']","['Acute kidney injury', 'Dialysis', 'Mortality']",Table S1. Univariable Analysis of Risk Factors associated with Mortality for Patients with AKI (based on one episode of AKI per patient). Table S2. Multivariable Analysis of Risk Factors associated with Mortality for Patients with AKI (based on one episode of AKI per patient). (DOCX 22 kb),.tng,,,,,,,,,
369,The largest source of variation in the transcriptomics data is associated with gestational age across samples.,"['by Walter Stünkel Hong Pan Siew Boom Chew Emilia Tng Jun Hao Tan Li Chen Roy Joseph Clara Y. Cheong Mei-Lyn Ong Yung Seng Lee Yap-Seng Chong Seang Mei Saw Michael J. Meaney Kenneth Kwek Allan M. Sheppard Peter D. Gluckman Joanna D. Holbrook', 'Walter Stünkel', 'Walter Stünkel', 'Hong Pan', 'Hong Pan', 'Siew Boom Chew', 'Siew Boom Chew', 'Emilia Tng', 'Emilia Tng', 'Jun Hao Tan', 'Jun Hao Tan', 'Li Chen', 'Li Chen', 'Roy Joseph', 'Roy Joseph', 'Clara Y. Cheong', 'Clara Y. Cheong', 'Mei-Lyn Ong', 'Mei-Lyn Ong', 'Yung Seng Lee', 'Yung Seng Lee', 'Yap-Seng Chong', 'Yap-Seng Chong', 'Seang Mei Saw', 'Seang Mei Saw', 'Michael J. Meaney', 'Michael J. Meaney', 'Kenneth Kwek', 'Kenneth Kwek', 'Allan M. Sheppard', 'Allan M. Sheppard', 'Peter D. Gluckman', 'Peter D. Gluckman', 'Joanna D. Holbrook', 'Joanna D. Holbrook']","['Medicine', 'Genetics', 'Biological Sciences', 'Biotechnology']","['largest', 'transcriptomics', 'gestational']","Prinicipal component analysis using the RNA expression microarray data across just the normal birthweight samples (A) or across all samples (B), returned principal component 1 (x-axis) which has a significant correlation with gestational age of the samples. Samples are classified into high birth weight group (>3700 g) in orange; low birthweight group (<2500 g) in green; normal birthweight and gestational age less than or equal to 37 weeks in blue; or normal birthweight and gestational age more than 37 weeks in red.",.tng,,,,,,,,,
